# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    5.30000000e+00  2.13239479e-05  6.51300373e-02  6.93170265e-05  3.65653080e-02  2.29310049e-05  7.40565669e-03  
    5.32500000e+00  2.07277496e-05  6.47676586e-02  6.86486052e-05  3.59952321e-02  2.25323077e-05  7.25408782e-03  
    5.35000000e+00  2.01680845e-05  6.44064250e-02  6.80350890e-05  3.54274813e-02  2.20580171e-05  7.10407560e-03  
    5.37500000e+00  1.96394522e-05  6.40463631e-02  6.74563186e-05  3.48626866e-02  2.13603081e-05  6.95607073e-03  
    5.40000000e+00  1.91515269e-05  6.36875854e-02  6.69593647e-05  3.43012111e-02  2.05221527e-05  6.80984287e-03  
    5.42500000e+00  1.86286629e-05  6.33300950e-02  6.63476074e-05  3.37427992e-02  1.99400480e-05  6.66468952e-03  
    5.45000000e+00  1.80602181e-05  6.29738584e-02  6.56408353e-05  3.31870282e-02  1.98533453e-05  6.52077455e-03  
    5.47500000e+00  1.75222541e-05  6.26187850e-02  6.49554183e-05  3.26336073e-02  1.96839209e-05  6.37873168e-03  
    5.50000000e+00  1.70293923e-05  6.22647929e-02  6.43588804e-05  3.20826945e-02  1.92630751e-05  6.23860832e-03  
    5.52500000e+00  1.66057864e-05  6.19120021e-02  6.38847172e-05  3.15347911e-02  1.85969532e-05  6.10022871e-03  
    5.55000000e+00  1.61851898e-05  6.15605221e-02  6.33934762e-05  3.09901118e-02  1.78137709e-05  5.96301221e-03  
    5.57500000e+00  1.57597545e-05  6.12102932e-02  6.27981528e-05  3.04484838e-02  1.75622624e-05  5.82710745e-03  
    5.60000000e+00  1.53202199e-05  6.08612889e-02  6.21347639e-05  2.99091752e-02  1.77776819e-05  5.69275085e-03  
    5.62500000e+00  1.49230104e-05  6.05133232e-02  6.14779982e-05  2.93723063e-02  1.75557191e-05  5.56023180e-03  
    5.65000000e+00  1.45686291e-05  6.01664130e-02  6.09774996e-05  2.88381842e-02  1.71050167e-05  5.42968509e-03  
    5.67500000e+00  1.42394463e-05  5.98207878e-02  6.05040887e-05  2.83070206e-02  1.65861074e-05  5.30041445e-03  
    5.70000000e+00  1.39152339e-05  5.94763823e-02  5.99946767e-05  2.77789548e-02  1.62227156e-05  5.17241728e-03  
    5.72500000e+00  1.36038109e-05  5.91332434e-02  5.93535300e-05  2.72537299e-02  1.64585786e-05  5.04542872e-03  
    5.75000000e+00  1.33429866e-05  5.87912021e-02  5.87426702e-05  2.67308270e-02  1.65292798e-05  4.92039926e-03  
    5.77500000e+00  1.30927442e-05  5.84501534e-02  5.81973462e-05  2.62104347e-02  1.64796161e-05  4.79720245e-03  
    5.80000000e+00  1.28556571e-05  5.81102765e-02  5.77438620e-05  2.56927367e-02  1.61520463e-05  4.67523518e-03  
    5.82500000e+00  1.26486019e-05  5.77716183e-02  5.73082494e-05  2.51782370e-02  1.59404850e-05  4.55481420e-03  
    5.85000000e+00  1.24645662e-05  5.74342111e-02  5.67287730e-05  2.46666255e-02  1.60288155e-05  4.43529253e-03  
    5.87500000e+00  1.23643054e-05  5.70979623e-02  5.61449954e-05  2.41576349e-02  1.64069263e-05  4.31741194e-03  
